,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Title,C,Q,AgeBins,Deck_0,Deck_1,Deck_2,Deck_3,Deck_4,Deck_5,Deck_6,Deck_7,Deck_8,CabinLetter
24,0,3,female,8.0,3,1,21,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
25,1,3,female,38.0,1,5,31,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
26,0,3,male,27.4215716865,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
27,0,1,male,19.0,3,2,263,Mr,0,0,adult,0,1,0,0,0,0,0,0,0,1
28,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
29,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
30,0,1,male,40.0,0,0,27,Sir,1,0,adult,1,0,0,0,0,0,0,0,0,0
31,1,1,female,35.8225900794,1,0,146,Mrs,1,0,adult,0,0,0,0,0,0,1,0,0,6
32,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
33,0,2,male,66.0,0,0,10,Mr,0,0,old,1,0,0,0,0,0,0,0,0,0
34,0,1,male,28.0,1,0,82,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
35,0,1,male,42.0,1,0,52,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
36,1,3,male,27.4215716865,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
37,0,3,male,21.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
38,0,3,female,18.0,2,0,18,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
39,1,3,female,14.0,1,0,11,Miss,1,0,child,1,0,0,0,0,0,0,0,0,0
40,0,3,female,40.0,1,0,9,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
41,0,2,female,27.0,1,0,21,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
42,0,3,male,27.4215716865,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
43,1,2,female,3.0,1,2,41,Miss,1,0,child,1,0,0,0,0,0,0,0,0,0
44,1,3,female,19.0,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
45,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
46,0,3,male,27.7305507631,1,0,15,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
47,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
48,0,3,male,19.3606424603,2,0,21,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
49,0,3,female,18.0,1,0,17,Mrs,0,0,child,1,0,0,0,0,0,0,0,0,0
50,0,3,male,7.0,4,1,39,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
51,0,3,male,21.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
52,1,1,female,49.0,1,0,76,Mrs,1,0,mature,0,0,0,0,1,0,0,0,0,4
53,1,2,female,29.0,1,0,26,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
54,0,1,male,65.0,0,1,61,Mr,1,0,old,0,0,0,0,0,0,1,0,0,6
55,1,1,male,38.096635119,0,0,35,Mr,0,0,adult,0,1,0,0,0,0,0,0,0,1
56,1,2,female,21.0,0,0,10,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
57,0,3,male,28.5,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
58,1,2,female,5.0,1,2,27,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
59,0,3,male,11.0,5,2,46,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
60,0,3,male,22.0,0,0,7,Sir,1,0,adult,1,0,0,0,0,0,0,0,0,0
61,1,1,female,38.0,0,0,80,Miss,0,0,adult,0,0,0,0,0,0,1,0,0,6
62,0,1,male,45.0,1,0,83,Mr,0,0,mature,0,1,0,0,0,0,0,0,0,1
63,0,3,male,4.0,3,2,27,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
64,0,1,male,38.1294614768,0,0,27,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
65,1,3,male,14.2590790476,1,1,15,Master,1,0,child,1,0,0,0,0,0,0,0,0,0
66,1,2,female,29.0,0,0,10,Mrs,0,0,adult,0,0,0,0,0,0,0,1,0,7
67,0,3,male,19.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
68,1,3,female,17.0,4,2,7,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
69,0,3,male,26.0,2,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
70,0,2,male,32.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
71,0,3,female,16.0,5,2,46,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
72,0,2,male,21.0,0,0,73,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
73,0,3,male,26.0,1,0,14,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
74,1,3,male,32.0,0,0,56,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
75,0,3,male,25.0,0,0,7,Mr,0,0,adult,0,0,0,0,0,0,0,1,0,7
76,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
77,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
78,1,2,male,0.83,0,2,29,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
79,1,3,female,30.0,0,0,12,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
80,0,3,male,22.0,0,0,9,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
81,1,3,male,29.0,0,0,9,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
82,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
83,0,1,male,28.0,0,0,47,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
84,1,2,female,17.0,0,0,10,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
85,1,3,female,33.0,3,0,15,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
86,0,3,male,16.0,1,3,34,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
87,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
88,1,1,female,23.0,3,2,263,Miss,0,0,adult,0,1,0,0,0,0,0,0,0,1
89,0,3,male,24.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
90,0,3,male,29.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
91,0,3,male,20.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
92,0,1,male,46.0,1,0,61,Mr,0,0,mature,0,0,1,0,0,0,0,0,0,2
93,0,3,male,26.0,1,2,20,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
94,0,3,male,59.0,0,0,7,Mr,0,0,old,1,0,0,0,0,0,0,0,0,0
95,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
96,0,1,male,71.0,0,0,34,Mr,1,0,old,0,0,0,0,0,1,0,0,0,5
97,1,1,male,23.0,0,1,63,Mr,1,0,adult,0,0,0,0,1,0,0,0,0,4
98,1,2,female,34.0,0,1,23,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
99,0,2,male,34.0,1,0,26,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
100,0,3,female,28.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
101,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
102,0,1,male,21.0,0,1,77,Mr,0,0,adult,0,0,0,0,1,0,0,0,0,4
103,0,3,male,33.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
104,0,3,male,37.0,2,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
105,0,3,male,28.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
106,1,3,female,21.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
107,1,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
108,0,3,male,38.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
109,1,3,female,29.7095606866,1,0,24,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
110,0,1,male,47.0,0,0,52,Mr,0,0,mature,0,1,0,0,0,0,0,0,0,1
111,0,3,female,14.5,1,0,14,Miss,1,0,child,1,0,0,0,0,0,0,0,0,0
112,0,3,male,22.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
113,0,3,female,20.0,1,0,9,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
114,0,3,female,17.0,0,0,14,Miss,1,0,child,1,0,0,0,0,0,0,0,0,0
115,0,3,male,21.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
116,0,3,male,70.5,0,0,7,Mr,0,1,old,1,0,0,0,0,0,0,0,0,0
117,0,2,male,29.0,1,0,21,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
118,0,1,male,24.0,0,1,247,Mr,1,0,adult,0,0,0,0,0,0,1,0,0,6
119,0,3,female,2.0,4,2,31,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
120,0,2,male,21.0,2,0,73,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
121,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
122,0,2,male,32.5,1,0,30,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
123,1,2,female,32.5,0,0,13,Miss,0,0,adult,0,0,1,0,0,0,0,0,0,2
124,0,1,male,54.0,0,1,77,Mr,0,0,mature,0,0,0,0,1,0,0,0,0,4
125,1,3,male,12.0,1,0,11,Master,1,0,child,1,0,0,0,0,0,0,0,0,0
126,0,3,male,31.3433157707,0,0,7,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
127,1,3,male,24.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
128,1,3,female,19.8804840551,1,1,22,Miss,1,0,adult,0,0,0,0,0,0,0,1,0,7
129,0,3,male,45.0,0,0,6,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
130,0,3,male,33.0,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
131,0,3,male,20.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
132,0,3,female,47.0,1,0,14,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
133,1,2,female,29.0,1,0,26,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
134,0,2,male,25.0,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
135,0,2,male,23.0,0,0,15,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
136,1,1,female,19.0,0,2,26,Miss,0,0,adult,0,0,0,0,1,0,0,0,0,4
137,0,1,male,37.0,1,0,53,Mr,0,0,adult,0,1,0,0,0,0,0,0,0,1
138,0,3,male,16.0,0,0,9,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
139,0,1,male,24.0,0,0,79,Mr,1,0,adult,0,0,0,0,0,0,1,0,0,6
140,0,3,female,16.3704994444,0,2,15,Mrs,1,0,child,1,0,0,0,0,0,0,0,0,0
141,1,3,female,22.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
142,1,3,female,24.0,1,0,15,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
143,0,3,male,19.0,0,0,6,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
144,0,2,male,18.0,0,0,11,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
145,0,2,male,19.0,1,1,36,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
146,1,3,male,27.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
147,0,3,female,9.0,2,2,34,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
148,0,2,male,36.5,0,2,26,Mr,0,0,adult,0,0,0,0,0,0,0,1,0,7
149,0,2,male,42.0,0,0,13,NaN,0,0,mature,1,0,0,0,0,0,0,0,0,0
150,0,2,male,51.0,0,0,12,NaN,0,0,mature,1,0,0,0,0,0,0,0,0,0
151,1,1,female,22.0,1,0,66,Mrs,0,0,adult,0,1,0,0,0,0,0,0,0,1
152,0,3,male,55.5,0,0,8,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
153,0,3,male,40.5,0,2,14,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
154,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
155,0,1,male,51.0,0,1,61,Mr,1,0,mature,1,0,0,0,0,0,0,0,0,0
156,1,3,female,16.0,0,0,7,Miss,0,1,child,1,0,0,0,0,0,0,0,0,0
157,0,3,male,30.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
158,0,3,male,28.7049555547,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
159,0,3,male,10.8111535152,8,2,69,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
160,0,3,male,44.0,0,1,16,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
161,1,2,female,40.0,0,0,15,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
162,0,3,male,26.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
163,0,3,male,17.0,0,0,8,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
164,0,3,male,1.0,4,1,39,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
165,1,3,male,9.0,0,2,20,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
166,1,1,female,26.5810857143,0,1,55,Mrs,0,0,adult,0,0,1,0,0,0,0,0,0,2
167,0,3,female,45.0,1,4,27,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
168,0,1,male,48.0125055853,0,0,25,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
169,0,3,male,28.0,0,0,56,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
170,0,1,male,61.0,0,0,33,Mr,0,0,old,0,0,0,0,0,0,1,0,0,6
171,0,3,male,4.0,4,1,29,Master,0,1,child,1,0,0,0,0,0,0,0,0,0
172,1,3,female,1.0,1,1,11,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
173,0,3,male,21.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
174,0,1,male,56.0,0,0,30,Mr,1,0,mature,0,0,0,0,0,1,0,0,0,5
175,0,3,male,18.0,1,1,7,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
176,0,3,male,6.00649795274,3,1,25,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
177,0,1,female,50.0,0,0,28,Miss,1,0,mature,0,1,0,0,0,0,0,0,0,1
178,0,2,male,30.0,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
179,0,3,male,36.0,0,0,0,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
180,0,3,female,10.8111535152,8,2,69,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
181,0,2,male,26.0153150407,0,0,15,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
182,0,3,male,9.0,4,2,31,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
183,1,2,male,1.0,2,1,39,Master,0,0,child,0,0,0,0,0,0,0,1,0,7
184,1,3,female,4.0,0,2,22,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
185,0,1,male,37.092275,0,0,50,Mr,0,0,adult,0,0,0,0,0,1,0,0,0,5
186,1,3,female,27.7305507631,1,0,15,Mrs,0,1,adult,1,0,0,0,0,0,0,0,0,0
187,1,1,male,45.0,0,0,26,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
188,0,3,male,40.0,1,1,15,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
189,0,3,male,36.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
190,1,2,female,32.0,0,0,13,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
191,0,2,male,19.0,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
192,1,3,female,19.0,1,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
193,1,2,male,3.0,1,1,26,Master,0,0,child,0,0,0,0,0,0,0,1,0,7
194,1,1,female,44.0,0,0,27,Mrs,1,0,mature,0,0,0,0,0,0,1,0,0,6
195,1,1,female,58.0,0,0,146,Miss,1,0,old,0,0,0,0,0,0,1,0,0,6
196,0,3,male,31.3433157707,0,0,7,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
197,0,3,male,42.0,0,1,8,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
198,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
199,0,2,female,24.0,0,0,13,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
200,0,3,male,28.0,0,0,9,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
201,0,3,male,10.8111535152,8,2,69,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
202,0,3,male,34.0,0,0,6,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
203,0,3,male,45.5,0,0,7,Mr,1,0,mature,1,0,0,0,0,0,0,0,0,0
204,1,3,male,18.0,0,0,8,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
205,0,3,female,2.0,0,1,10,Miss,0,0,child,0,0,0,1,0,0,0,0,0,3
206,0,3,male,32.0,1,0,15,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
207,1,3,male,26.0,0,0,18,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
208,1,3,female,16.0,0,0,7,Miss,0,1,child,1,0,0,0,0,0,0,0,0,0
209,1,1,male,40.0,0,0,31,Mr,1,0,adult,0,0,0,0,0,1,0,0,0,5
210,0,3,male,24.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
211,1,2,female,35.0,0,0,21,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
212,0,3,male,22.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
213,0,2,male,30.0,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
214,0,3,male,27.1219403444,1,0,7,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
215,1,1,female,31.0,1,0,113,Miss,1,0,adult,0,0,0,0,1,0,0,0,0,4
216,1,3,female,27.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
217,0,2,male,42.0,1,0,27,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
218,1,1,female,32.0,0,0,76,Miss,1,0,adult,0,0,0,0,1,0,0,0,0,4
219,0,2,male,30.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
220,1,3,male,16.0,0,0,8,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
221,0,2,male,27.0,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
222,0,3,male,51.0,0,0,8,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
223,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
224,1,1,male,38.0,1,0,90,Mr,0,0,adult,0,1,0,0,0,0,0,0,0,1
225,0,3,male,22.0,0,0,9,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
226,1,2,male,19.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
227,0,3,male,20.5,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
228,0,2,male,18.0,0,0,13,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
229,0,3,female,6.00649795274,3,1,25,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
230,1,1,female,35.0,1,0,83,Mrs,0,0,adult,0,1,0,0,0,0,0,0,0,1
231,0,3,male,29.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
232,0,2,male,59.0,0,0,13,Mr,0,0,old,1,0,0,0,0,0,0,0,0,0
233,1,3,female,5.0,4,2,31,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
234,0,2,male,24.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
235,0,3,female,28.0454478935,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
236,0,2,male,44.0,1,0,26,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
237,1,2,female,8.0,0,2,26,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
238,0,2,male,19.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
239,0,2,male,33.0,0,0,12,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
240,0,3,female,20.5421498599,1,0,14,Miss,1,0,adult,1,0,0,0,0,0,0,0,0,0
241,1,3,female,27.7305507631,1,0,15,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
242,0,2,male,29.0,0,0,10,Sir,0,0,adult,1,0,0,0,0,0,0,0,0,0
243,0,3,male,22.0,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
244,0,3,male,30.0,0,0,7,Mr,1,0,adult,1,0,0,0,0,0,0,0,0,0
245,0,1,male,44.0,2,0,90,NaN,0,1,mature,0,1,0,0,0,0,0,0,0,1
246,0,3,female,25.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
247,1,2,female,24.0,0,2,14,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
248,1,1,male,37.0,1,1,52,Mr,0,0,adult,0,0,0,0,1,0,0,0,0,4
249,0,2,male,54.0,1,0,26,NaN,0,0,mature,1,0,0,0,0,0,0,0,0,0
250,0,3,male,28.0454478935,0,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
251,0,3,female,29.0,1,1,10,Mrs,0,0,adult,0,0,0,1,0,0,0,0,0,3
252,0,1,male,62.0,0,0,26,Mr,0,0,old,0,1,0,0,0,0,0,0,0,1
253,0,3,male,30.0,1,0,16,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
254,0,3,female,41.0,0,2,20,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
255,1,3,female,29.0,0,2,15,Mrs,1,0,adult,1,0,0,0,0,0,0,0,0,0
256,1,1,female,34.9649190476,0,0,79,Mrs,1,0,adult,1,0,0,0,0,0,0,0,0,0
257,1,1,female,30.0,0,0,86,Miss,0,0,adult,0,0,0,0,0,0,1,0,0,6
258,1,1,female,35.0,0,0,512,Miss,1,0,adult,1,0,0,0,0,0,0,0,0,0
259,1,2,female,50.0,0,1,26,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
260,0,3,male,31.3433157707,0,0,7,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
261,1,3,male,3.0,4,2,31,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
262,0,1,male,52.0,1,1,79,Mr,0,0,mature,0,0,1,0,0,0,0,0,0,2
263,0,1,male,40.0,0,0,0,Mr,0,0,adult,0,0,0,0,0,0,1,0,0,6
264,0,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
265,0,2,male,36.0,0,0,10,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
266,0,3,male,16.0,4,1,39,Mr,0,0,child,1,0,0,0,0,0,0,0,0,0
267,1,3,male,25.0,1,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
268,1,1,female,58.0,0,1,153,Mrs,0,0,old,0,1,0,0,0,0,0,0,0,1
269,1,1,female,35.0,0,0,135,Miss,0,0,adult,0,1,0,0,0,0,0,0,0,1
270,0,1,male,42.1417463051,0,0,31,Mr,0,0,mature,1,0,0,0,0,0,0,0,0,0
271,1,3,male,25.0,0,0,0,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
272,1,2,female,41.0,0,1,19,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
273,0,1,male,37.0,0,1,29,Mr,1,0,adult,0,1,0,0,0,0,0,0,0,1
274,1,3,female,31.3433157707,0,0,7,Miss,0,1,adult,1,0,0,0,0,0,0,0,0,0
275,1,1,female,63.0,1,0,77,Miss,0,0,old,0,0,0,0,1,0,0,0,0,4
276,0,3,female,45.0,0,0,7,Miss,0,0,mature,1,0,0,0,0,0,0,0,0,0
277,0,2,male,34.7490896819,0,0,0,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
278,0,3,male,7.0,4,1,29,Master,0,1,child,1,0,0,0,0,0,0,0,0,0
